variable,reference_variable,lag_hours,dataset,entity_id,sensor_name,sensor_lat,sensor_lon,traffic_association_count,traffic_association_mode,traffic_association_max_distance_m,traffic_association_ids,dominant_pattern,significant_moments_pct,significant_moments,HH_moments,LL_moments,HL_moments,LH_moments,observed_moments_pct,insufficient_moments_pct,missing_moments,mean_local_moran_i,mean_p_value,variable_signal_pct,map_color
NO2,coches_total,3,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867aa682,Aquatec - C/ Pintor Balaca,37.609571,-0.987615,3,radius,290.3,anprFlowObserved:13|anprFlowObserved:14|anprFlowObserved:17,HH,0.57,12,12,0,0,0,98.33,18.2,36,0.1472,0.5866,2.04,#b91c1c
NO2,coches_total,0,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867bf326,Aquatec - C/ Ramón y Cajal,37.608898092,-0.990987387,2,radius,177.4,anprFlowObserved:12|anprFlowObserved:11,LH,0.56,12,0,0,0,12,100.0,18.16,0,-0.2257,0.7123,1.9,#7c3aed
NO2,coches_total,2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867aa682,Aquatec - C/ Pintor Balaca,37.609571,-0.987615,3,radius,290.3,anprFlowObserved:13|anprFlowObserved:14|anprFlowObserved:17,HH,0.47,10,9,0,1,0,98.33,18.2,36,0.1459,0.5897,2.03,#b91c1c
NO2,coches_total,2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c064e,Aquatec - Parque Sauces,37.60905,-0.982657,4,radius,271.4,anprFlowObserved:15|anprFlowObserved:14|anprFlowObserved:3|anprFlowObserved:16,LL,0.3,3,0,2,1,0,45.99,7.09,1166,0.0039,0.7218,2.03,#1d4ed8
NO2,coches_total,0,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c01f2,Aquatec - C/ San Juan,37.605112,-0.985913,4,radius,294.7,anprFlowObserved:2|anprFlowObserved:17|anprFlowObserved:16|anprFlowObserved:3,LH,0.29,6,0,1,0,5,94.4,17.51,121,-0.2664,0.6169,1.9,#7c3aed
NO2,coches_total,2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c01f2,Aquatec - C/ San Juan,37.605112,-0.985913,4,radius,294.7,anprFlowObserved:2|anprFlowObserved:17|anprFlowObserved:16|anprFlowObserved:3,LH,0.29,6,0,0,0,6,94.4,17.65,121,-0.2645,0.6186,2.03,#7c3aed
NO2,coches_total,1,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867aa682,Aquatec - C/ Pintor Balaca,37.609571,-0.987615,3,radius,290.3,anprFlowObserved:13|anprFlowObserved:14|anprFlowObserved:17,HH,0.28,6,6,0,0,0,98.33,18.2,36,0.1453,0.5862,2.05,#b91c1c
NO2,coches_total,1,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c01f2,Aquatec - C/ San Juan,37.605112,-0.985913,4,radius,294.7,anprFlowObserved:2|anprFlowObserved:17|anprFlowObserved:16|anprFlowObserved:3,LH,0.2,4,0,0,0,4,94.4,17.6,121,-0.2643,0.6156,2.05,#7c3aed
NO2,coches_total,1,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c064e,Aquatec - Parque Sauces,37.60905,-0.982657,4,radius,271.4,anprFlowObserved:15|anprFlowObserved:14|anprFlowObserved:3|anprFlowObserved:16,mixed,0.2,2,0,1,0,1,45.99,7.04,1166,0.0104,0.7218,2.05,#0f766e
NO2,coches_total,3,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c064e,Aquatec - Parque Sauces,37.60905,-0.982657,4,radius,271.4,anprFlowObserved:15|anprFlowObserved:14|anprFlowObserved:3|anprFlowObserved:16,LL,0.2,2,0,2,0,0,45.99,7.13,1166,0.0014,0.7239,2.04,#1d4ed8
NO2,coches_total,3,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c01f2,Aquatec - C/ San Juan,37.605112,-0.985913,4,radius,294.7,anprFlowObserved:2|anprFlowObserved:17|anprFlowObserved:16|anprFlowObserved:3,LH,0.15,3,0,0,0,3,94.4,17.69,121,-0.2677,0.6156,2.04,#7c3aed
NO2,coches_total,0,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c064e,Aquatec - Parque Sauces,37.60905,-0.982657,4,radius,271.4,anprFlowObserved:15|anprFlowObserved:14|anprFlowObserved:3|anprFlowObserved:16,LL,0.1,1,0,1,0,0,45.99,6.95,1166,0.0133,0.7205,1.9,#1d4ed8
NO2,coches_total,0,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c200a,Aquatec - Plaza Lopez Pinto,37.604565,-0.985117,2,radius,288.5,anprFlowObserved:2|anprFlowObserved:3,HH,0.09,1,1,0,0,0,51.78,12.74,1041,-0.0384,0.7615,1.9,#b91c1c
NO2,coches_total,1,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c200a,Aquatec - Plaza Lopez Pinto,37.604565,-0.985117,2,radius,288.5,anprFlowObserved:2|anprFlowObserved:3,HH,0.09,1,1,0,0,0,51.78,12.83,1041,-0.0376,0.7671,2.05,#b91c1c
